cofids_food_code,name,description,protein,fat,carbohydrate,kcal
50-1121,Curacao,4 samples of different brands,0,0,0.283,3.11
50-1120,Cherry brandy,6 samples of different brands,0,0,0.326,2.55
17-247,"Spirits, 40% volume","Mean of brandy, gin, rum, whisky and vodka",0,0,0,2.22
17-246,"Spirits, 37.5% volume","Mean of brandy, gin, rum, whisky and vodka",0,0,0,2.07
17-240,"Vermouth, sweet",5 samples of different brands,0,0,0.159,1.51
17-239,"Vermouth, dry",5 samples of different brands,0.001,0,0.03,1.09
17-231,"White wine, medium",Mixed sample from different countries,0.001,0,0.03,0.74
17-596,"Mulled wine, homemade",Recipe,0.003,0.001,0.202,1.55
17-233,"White wine, sweet",Mixed sample from different countries,0.002,0,0.059,0.94
17-232,"White wine, sparkling",5 samples from different countries,0.003,0,0.051,0.74
17-230,"White wine, dry",5 samples from different countries,0.001,0,0.006,0.66
17-229,"Rose wine, medium",5 samples from different countries,0.001,0,0.025,0.71
17-226,Champagne,Mixed sample,0.003,0,0.014,0.76
17-228,Red wine,Mixed sample from different countries,0.001,0,0.002,0.68
17-178,"Ginger ale, dry","10 samples, 5 brands",0,0,0.039,0.15
17-182,"Soda, club",Ref. Cutrufelli and Matthews 1986,0,0,0,0
17-543,Lucozade,"Analytical and manufacturer's data SmithKline Beecham. Including lemon, orange and tropical flavours",0,0,0.16,0.6
17-505,"Cola, diet",Calculated from Cola,0,0,0,0.01
17-184,Tonic water,Ref. Cutrufelli and Matthews 1986,0,0,0.088,0.33
17-183,"Soda, cream",Ref. Cutrufelli and Matthews 1986,0,0,0.133,0.51
17-179,Lemonade,"10 samples, 8 brands",0,0,0.058,0.22
17-175,Cola,"10 samples, 6 brands",0,0,0.109,0.41
17-177,"Fruit juice drink, carbonated, ready to drink","Mixed sample of different brands; bottles and cans; orange, lemon, apple and tropical fruit flavours e.g. Citrus Spring, Fanta, Orangina and Tango",0,0,0.103,0.39
17-176,Dr Pepper,Ref. Cutrufelli and Matthews 1986,0,0.001,0.104,0.41
17-181,Root beer,Ref. Cutrufelli and Matthews 1986,0,0,0.106,0.41
17-166,"Tea, black, infusion, weak","10g leaves per litre water, strained after 5 minutes; 10 samples",0.001,0,0,0
17-204,"Milkshake syrup, concentrated, made up with semi-skimmed milk",Calculated from 40g syrup to 250ml milk,0.029,0.014,0.093,0.59
17-203,"Milkshake syrup, concentrated, made up with whole milk",Calculated from 40g syrup to 250ml milk,0.028,0.034,0.09,0.75
17-174,"Tea, lemon, instant powder, with water",Calculated from 6g powder to 225ml water,0,0,0.021,0.08
17-172,"Tea, herbal, infusion",Ref. Cutrufelli and Matthews 1986,0,0,0.002,0.01
17-171,"Tea, green, infusion",Literature sources; Sencha Fuku Jyu and Banch type,0.001,0,0,0
17-170,"Tea, Chinese, leaves, infusion",Analysis and literature sources,0.001,0,0.002,0.01
17-169,"Tea, infusion, average, with semi-skimmed milk",225ml infusion with 35g semi-skimmed milk,0.005,0.002,0.007,0.07
17-167,"Tea, black, infusion, strong","10g leaves per 500ml water, strained after 5 minutes; 10 samples",0.001,0,0,0
17-155,"Coffee, infusion, average, with single cream",225ml coffee infusion with 15g single cream,0.004,0.012,0.003,0.14
17-152,"Coffee, infusion, average",Average of strong and weak infusions,0.002,0,0.003,0.02
17-168,"Tea, infusion, average, with whole milk",225ml infusion with 28g whole milk,0.004,0.004,0.005,0.08
17-154,"Coffee, infusion, weak",Ground and filter coffee; 34g per litre water boiled in percolator and strained,0.002,0,0.003,0.02
17-594,"Coffee, Irish",Recipe,0.004,0.088,0.027,1.25
17-156,"Coffee, infusion, average, with whole milk",225ml coffee infusion with 28g whole milk,0.005,0.004,0.005,0.07
17-157,"Coffee, infusion, average, with semi-skimmed milk",225ml coffee infusion with 35g semi-skimmed milk,0.006,0.002,0.007,0.07
17-159,"Coffee, instant, made up with water",Calculated from 2g instant coffee to 225ml water,0,0,0,0
17-160,"Coffee, instant, made up with water and whole milk",Calculated from 2g instant coffee to 225ml water with 28g whole milk,0.005,0.004,0.006,0.08
17-161,"Coffee, instant, made up with water and semi-skimmed milk",Calculated from 2g instant coffee to 225ml water with 35g semi-skimmed milk,0.006,0.002,0.007,0.07
17-153,"Coffee, infusion, strong",Ground and filter coffee; 69g per litre water boiled in percolator and strained,0.002,0,0.003,0.02
14-286,"Pineapple juice, unsweetened","18 samples, cartons only",0.003,0.001,0.105,0.41
17-537,Cranberry juice ,Manufacturer's data Ocean Spray and literature,0,0,0.144,0.61
14-301,"Orange juice, unsweetened","60 samples; fresh, canned, bottled and frozen",0.005,0.001,0.088,0.36
17-411,"Baby fruit juice drink, concentrated, fortified with vitamin C",10 samples of the same brand Ribena,0.003,0,0.577,2.18
17-410,"Baby fruit juice, fortified with vitamin C","10 samples, 2 brands; assorted flavours",0.001,0,0.08,0.3
14-287,"Pineapple juice concentrate, unsweetened","13 samples, 56.5 Brix; imported commercial concentrate",0.013,0.001,0.475,1.84
14-277,"Lemon juice, fresh",Analysis and literature sources,0.003,0,0.016,0.07
14-275,"Grapefruit juice, unsweetened","50 samples; cartons, canned, bottled and frozen",0.004,0.001,0.083,0.33
14-273,"Grape juice, unsweetened","10 samples, 6 brands; red and white juice",0.003,0.001,0.117,0.46
14-272,"Apple juice concentrate, unsweetened","10 samples, 68.6 Brix; imported commercial concentrate",0.005,0.006,0.576,2.23
13-382,Tomato juice,"LGC; 10 samples, 9 brands",0.008,0,0.03,0.14
14-284,"Orange juice concentrate, unsweetened","17 samples, 58.4 Brix; imported commercial concentrate",0.029,0.005,0.449,1.85
14-271,"Apple juice, unsweetened",10 samples; bottles and cartons,0.001,0.001,0.099,0.38
17-565,"Ovaltine powder, made up with semi-skimmed milk",Recipe. Calculated from 25g powder to 200ml milk,0.039,0.017,0.132,0.8
17-540,"Complan powder, original and sweet","6 flavours, manufacturer's data Heinz",0.157,0.148,0.675,4.49
17-541,"Complan powder, savoury","Chicken flavour, manufacturer's data Heinz",0.154,0.146,0.644,4.35
17-545,Coffee and chicory essence,7 bottles of the same brand CAMP,0.016,0.002,0.56,2.18
17-559,"Drinking chocolate powder, made up with skimmed milk",Recipe. Made up according to packet directions.Calculated from 18g powder to 200ml milk,0.036,0.007,0.106,0.6
17-560,"Horlicks powder, made up with whole milk","Recipe, Calculated from 25g powder to 200ml milk",0.04,0.04,0.127,1
17-561,"Horlicks powder, made up with semi-skimmed milk","Recipe, Calculated from 25g powder to 200ml milk",0.041,0.02,0.128,0.83
17-562,"Horlicks powder, made up with skimmed milk","Recipe, Calculated from 25g powder to 200ml milk",0.041,0.007,0.126,0.7
17-564,"Ovaltine powder, made up with whole milk",Recipe. Calculated from 25g powder to 200ml milk,0.038,0.036,0.131,0.98
17-566,"Ovaltine powder, made up with skimmed milk",Recipe. Calculated from 25g powder to 200ml milk,0.039,0.004,0.13,0.68
17-500,"Instant drinks powder, chocolate, low calorie","11 samples, 6 brands, assorted flavours",0.16,0.111,0.52,3.59
17-535,"Build-up powder, soup","Manufacturer's data Nestlé. Average of chicken, mushroom and potato & leek flavours",0.203,0.082,0.592,3.77
17-563,"Horlicks LowFat Instant powder, made up with water",Calculated from 32g powder to 200ml water,0.019,0.006,0.101,0.5
17-165,"Tea, black, infusion, average","15g leaves per litre water, strained after 5 minutes",0.001,0,0,0
17-534,"Build-up powder, shake","Manufacturer's data Nestlé. Average of chocolate, strawberry, lemon & lime, vanilla and neutral flavours",0.23,0.011,0.653,3.47
17-158,"Coffee, instant","10 jars, 2 brands",0.146,0,0.045,0.75
17-173,"Tea, lemon, instant powder",8 samples of the same brand Lift,0,0,0.817,3.06
17-498,Drinking chocolate powder,"10 tins, 3 brands",0.054,0.058,0.797,3.73
17-499,"Drinking chocolate powder, reduced fat","10 samples, 4 brands",0.064,0.023,0.821,3.54
17-502,Horlicks LowFat Instant powder,Manufacturer's data SmithKline Beecham,0.137,0.041,0.73,3.65
17-533,"Drinking chocolate powder, made up with whole milk",Calculated from 18g powder to 200ml milk,0.035,0.04,0.107,0.9
50-1043,Bournvita powder,6 samples,0.077,0.015,0.79,3.41
17-503,Horlicks powder,Manufacturer's data SmithKline Beecham,0.096,0.047,0.78,3.73
17-504,Ovaltine powder,"6 samples, Manufacturer's data Novartis",0.073,0.019,0.814,3.52
17-532,"Drinking chocolate powder, made up with semi-skimmed milk",Calculated from 18g powder to 200ml milk,0.036,0.02,0.109,0.73
17-501,"Instant drinks powder, malted","10 samples, 3 brands",0.117,0.095,0.757,4.16
17-163,"Coffee and chicory essence, with water",10g essence with 225ml water,0.001,0,0.024,0.09
17-197,"High juice drink, concentrated","10 samples, 5 brands; orange and lemon flavours",0.003,0,0.33,1.25
17-200,"Lime juice cordial, undiluted",6 bottles of the same brand Roses,0.001,0,0.298,1.12
17-201,"Lime juice cordial, concentrated, made up",Calculated from 50g concentrate to 200ml water,0,0,0.06,0.22
17-202,"Milkshake syrup, concentrated","10 samples, 3 brands; assorted flavours",0,0,0.355,1.33
17-205,"Rosehip syrup, concentrated","9 samples, 4 brands",0,0,0.619,2.32
17-206,"Rosehip syrup, concentrated, made up",Calculated from 50g syrup to 200ml water,0,0,0.124,0.46
17-595,"Lemonade, homemade",Recipe,0,0,0.167,0.63
17-195,"Fruit juice drink, ready to drink","Mixed sample; lemon, orange, apple and mixed fruit flavours",0.001,0,0.098,0.37
17-196,"Fruit juice drink, low calorie, ready to drink","10 samples, 2 brands; mixed fruit flavours",0.002,0,0.025,0.1
17-536,Sunny Delight,Manufacturer's data. Average of Florida style and California style,0,0.002,0.1,0.39
17-188,"Blackcurrant juice drink, concentrated, made up",Calculated from 38g concentrate to 250ml water,0,0,0.08,0.3
17-185,"Barley water, concentrated",Mixed sample and manufacturers' information; orange and lemon flavours,0.003,0,0.185,0.71
17-198,"High juice drink, concentrated, made up",Calculated from 50g concentrate to 200ml water,0.001,0,0.066,0.25
17-194,"Fruit drink, low sugar, concentrated, fortified, made up",Calculated from 50g concentrate to 200ml water,0,0,0.01,0.04
17-187,"Blackcurrant juice drink, undiluted",Mixed sample and manufacturer's data Ribena and own brands,0.001,0,0.608,2.28
17-189,"Fruit drink/squash, undiluted","Mixed sample; lemon, orange, apple and mixed fruit flavours",0.001,0,0.248,0.93
17-190,"Fruit drink/squash, concentrated, made up",Calculated from 50g concentrate to 200ml water,0,0,0.05,0.19
17-191,"Fruit drink, low calorie, undiluted","10 samples, 2 brands; lemon, orange and mixed fruit flavours",0.001,0,0.008,0.03
17-192,"Fruit drink, low calorie, concentrated, made up",Calculated from 50g concentrate to 200ml water,0,0,0.002,0.01
17-193,"Fruit drink, low sugar, concentrated, fortified",10 samples of whole orange drink Kia Ora,0.002,0,0.051,0.2
17-186,"Barley water, concentrated, made up",Calculated from 50g concentrate to 200ml water,0.001,0,0.037,0.14
11-636,"Biscuits, homemade, rubbing-in method",Recipe,0.064,0.236,0.616,4.7
11-523,Shortbread,4 Samples,0.06,0.275,0.633,5.09
11-520,"Crunch biscuits, cream filled","5 samples, 2 brands of crunch creams",0.052,0.246,0.679,4.97
11-521,Semi-sweet biscuits,"10 samples, 3 brands including Osborne, Rich Tea and Marie",0.067,0.133,0.748,4.27
11-519,"Sandwich biscuits, cream filled","20 samples, 5 brands including custard creams and bourbon",0.059,0.207,0.725,4.82
11-639,"Oatcakes, homemade",Recipe,0.107,0.181,0.627,4.41
11-522,Short sweet biscuits,"10 samples, 2 brands including Lincoln and Shortcake",0.062,0.218,0.622,4.54
11-518,"Oatcakes, retail","6 packets, 4 brands, Fats analysed on 3 brands",0.1,0.151,0.63,4.12
11-524,"Wafer biscuits, filled","9 packets, assorted",0.047,0.301,0.66,5.37
11-571,Flapjacks,Recipe,0.048,0.27,0.624,4.93
11-572,Wholemeal crackers,Recipe,0.101,0.115,0.72,4.14
11-625,"Gingernut biscuits, homemade",recipe,0.044,0.197,0.678,4.49
11-635,"Biscuits, homemade, creaming method",Recipe,0.062,0.225,0.643,4.68
11-637,"Biscuits, homemade, wholemeal",Recipe,0.135,0.089,0.607,3.63
11-638,"Biscuits, melting moments, homemade",Recipe,0.032,0.373,0.552,5.56
11-517,Oat based biscuits,"10 samples, 3 brands including Hob Nobs, Snapjacks, Oatbakes and Barnstormers",0.076,0.214,0.652,4.68
11-507,"Chocolate biscuits, cream filled, full coated","9 samples of different brands including Club, Penguin, Trio and Hob Nob bars",0.064,0.284,0.573,4.96
11-634,"Brandy snaps, home made",Recipe,0.029,0.225,0.712,4.86
11-407,Cornish wafers,8 samples of the same brand,0,0.283,0,0
11-509,"Wafers, filled, chocolate, full coated","11 samples, different brands including Taxi and Blue Riband",0.069,0.297,0.581,5.13
11-516,"Sandwich biscuits, jam filled","6 samples, 3 brands including Jammy Dodgers and jam rings",0.056,0.173,0.695,4.39
11-178,Matzos,"6 packets, Rakusens, Superfine, tea",0.105,0.019,0.866,3.84
11-404,Cheese sandwich biscuits,"10 samples, 3 brands",0,0.353,0,0
11-409,Fig rolls,"10 samples, 5 brands",0,0.062,0,0
11-410,Fruit biscuits,"7 samples, 4 brands including Jaspers, 
Shrewsburys and fruit shortcakes",0,0.197,0,0
11-411,Krackerwheat,5 samples of the same brand,0,0.3,0,0
11-413,"Oat based biscuits, chocolate, half coated","20 samples, 4 brands including Hob Nobs,
Barnstormers and Oatbakes",0,0.238,0,0
11-513,"Digestive biscuits, plain","10 samples, 4 brands",0.063,0.203,0.686,4.65
11-506,"Chocolate biscuits, full coated","7 samples, 5 brands including Breakaway, United and chocolate fingers",0.073,0.243,0.676,5.01
11-508,Chocolate chip cookies,"16 samples, 8 brands",0.058,0.229,0.652,4.74
11-510,Cream crackers,10 samples of the same brand,0.095,0.133,0.683,4.14
11-511,"Crispbread, rye",Analytical and Literature sources,0.094,0.006,0.706,3.08
11-512,"Digestive biscuits, chocolate","22 samples, 4 brands; plain and milk",0.068,0.241,0.665,4.93
11-415,"Shortcake, chocolate, half coated","6 samples of the same brand including
Shorties, Animals, Signature and Magic
Numbers",0,0.218,0,0
11-187,Water biscuits,3 brands,0.108,0.125,0.758,4.4
11-514,Gingernut biscuits,"10 packets, 5 brands",0.056,0.13,0.791,4.36
11-473,"White bread, 'with added fibre', toasted",Calculated using weight loss of 16%,0.09,0.018,0.59,2.73
11-472,"White bread, 'with added fibre'",Manufacturer's data for Mighty White Allied Bakeries and Champion British Bakeries,0.076,0.015,0.496,2.3
11-471,"White bread, French stick","18 samples, baguette and flute,  thick and thin",0.09,0.019,0.561,2.63
11-470,"White bread, farmhouse or split tin, freshly baked",20 samples,0.09,0.02,0.484,2.36
11-469,"White bread, fried in lard",Calculated from white sliced bread using analysed fat and water changes,0.081,0.322,0.468,4.98
11-468,"White bread, sliced",15 samples,0.079,0.016,0.461,2.19
11-466,"White bread, Danish style","8 samples, 4 brands",0.091,0.027,0.445,2.28
11-465,"Pitta bread, white","10 samples, 8 brands",0.091,0.013,0.551,2.55
11-474,"White bread, premium","15 samples, 13 brands",0.083,0.023,0.47,2.3
11-632,"Tortillas, made with wheat flour",Recipe,0.072,0.01,0.597,2.62
11-467,Wheatgerm bread,"7 samples, 4 brands, pre-packed, sliced",0.111,0.031,0.395,2.2
11-475,"White bread, toasted",Calculated using weight loss of 18%,0.097,0.02,0.562,2.67
11-476,"Wholemeal bread, average","21 samples, sliced and unsliced",0.094,0.025,0.42,2.17
11-609,Ciabatta,8 samples,0.102,0.039,0.52,2.71
11-611,"Wholemeal bread, toasted",Calculated using weight loss of 14.6%,0.112,0.029,0.492,2.55
11-627,"Bannocks, made with beremeal",Recipe,0.094,0.016,0.559,2.63
11-628,"Bannocks, made with wheat flour",Recipe,0.087,0.012,0.63,2.84
11-629,Milk bread,Recipe,0.087,0.087,0.479,2.93
11-631,Soda Bread,Recipe,0.077,0.024,0.547,2.59
11-464,"Pappadums, takeaway",10 samples from different outlets,0.115,0.388,0.283,5.01
11-077,"Currant bread, toasted",Calculated using 12% weight loss,0.084,0.085,0.568,3.23
11-630,Paratha,Recipe,0.081,0.144,0.433,3.23
11-087,"Papadums, raw","10 samples, 4 brands",0.206,0.019,0.46,2.72
11-463,Naan bread,12 samples  including garlic and coriander,0.078,0.073,0.502,2.85
11-069,"Breadcrumbs, manufactured","10 samples, 10 different brands",0.101,0.021,0.785,3.54
11-091,Rye bread,"15 samples, different shops; literature sources",0.083,0.017,0.458,2.19
11-068,"Breadcrumbs, homemade",Mean of several samples,0.116,0.019,0.775,3.54
11-099,"White bread, average",Weighted average of 5 main types of white bread,0.084,0.019,0.493,2.35
11-100,"White bread, large, crusty","27 samples, cob and bloomer",0.088,0.02,0.505,2.43
11-101,"White bread, large, tin","28 samples, split and farmhouse",0.083,0.018,0.488,2.32
11-105,"White bread, fried in blended oil",Calculated on white sliced bread using analysed fat and water changes,0.079,0.322,0.485,5.03
11-108,"White bread, Scottish batch, unwrapped","10 samples, 10 different shops",0.087,0.013,0.511,2.38
11-109,"White bread, Scottish batch, wrapped","10 samples, 10 different shops",0.086,0.012,0.486,2.27
11-460,"Garlic bread, pre-packed, frozen","10 samples, 8 brands. Part baked.",0.078,0.183,0.45,3.65
11-076,Currant bread,"10 samples, 10 different shops",0.075,0.076,0.507,2.89
11-110,"White bread, Vienna","10 samples, 10 different shops",0.093,0.033,0.522,2.63
11-461,Granary bread,"24 samples, sliced and unsliced",0.096,0.023,0.474,2.37
11-462,"Malt bread, fruited","6 samples, 3 brands",0.078,0.023,0.649,2.95
11-459,"Chapatis, made without fat",Analysed and calculated values,0.073,0.01,0.437,2.02
11-458,"Chapatis, made with fat",6 samples,0.081,0.128,0.483,3.28
11-457,"Brown bread, toasted",Calculated using 22% weight loss,0.103,0.026,0.54,2.67
11-456,"Brown bread, average","11 samples, 8 brands",0.079,0.02,0.421,2.07
11-399,"Bread, speciality, white","9 samples including ciabatta, focaccia and pugliese",0,0.042,0,0
11-398,"Bread, softgrain","10 samples, 5 brands",0,0.014,0,0
11-623,Cheerios,Manufacturer's data Cereal Partners UK,0.079,0.038,0.807,3.68
11-502,Multi-Grain Start,Manufacturer's data Kelloggs,0.079,0.02,0.852,3.69
11-498,Ricicles,Manufacturer's data Kelloggs,0.04,0.007,0.949,3.78
11-499,Shredded Wheat,Analysis and Manufacturer's data Nestlé,0.112,0.021,0.717,3.32
11-500,Shreddies,Analysis and manufacturer's data Nestlé,0.098,0.019,0.773,3.46
11-501,Special K,Analysis and Manufacturer's data Kelloggs,0.153,0.01,0.816,3.76
11-497,Rice Krispies,Analysis and manufacturer's data Kelloggs,0.061,0.01,0.929,3.82
11-503,Sugar Puffs,Manufacturer's data Quaker and analysis 6 packets of the same brand,0.061,0.01,0.927,3.81
11-504,Sultana Bran,Manufacturer's data Kelloggs,0.09,0.02,0.698,3.16
11-505,Weetabix,Manufacturer's data Weetabix,0.112,0.027,0.755,3.52
11-569,"Porridge, made with water",Recipe. Ref. Wiles et al. 1980,0.014,0.011,0.081,0.46
11-612,Nutri-Grain,"Average of strawberry, apple, blueberry, cherry and chocolate cereal bars. Manufacturer's data Kelloggs",0.041,0.084,0.715,3.6
11-633,"Porridge, made with milk and water",Recipe,0.031,0.031,0.104,0.8
11-495,"Muesli, with no added sugar","Analysis and manufacturers' data Kelloggs,Weetabix",0.105,0.078,0.671,3.66
11-494,"Muesli, swiss style","Analysis and manufacturers' data Kelloggs,Weetabix",0.098,0.059,0.722,3.63
11-570,"Porridge, made with whole milk",Recipe,0.048,0.051,0.126,1.13
11-135,Grapenuts,Manufacturer's data General Foods,0.105,0.005,0.799,3.46
11-496,Ready Brek,6 packets of the same brand and manufacturer's data Weetabix,0.116,0.083,0.654,3.66
11-493,Fruit 'n Fibre,Manufacturer's data Kelloggs,0.09,0.05,0.725,3.53
50-079,Raisin Splitz,Manufacturer's data Kelloggs,0.09,0.02,0.754,3.37
50-092,Weetos,Manufacturer's data Weetabix,0.061,0.027,0.861,3.72
11-138,"Muesli, with extra fruit","Manufacturer's data Weetabix, as Alpen with tropical fruit",0.102,0.062,0.734,3.72
11-144,Puffed Wheat,Analytical and literature sources,0.142,0.013,0.673,3.21
11-403,Crunchy Oat Cereal,3 samples of the same brand,0,0.159,0,0
11-369,Muesli,"3 samples of the same brand; contains wheatflakes, oatflakes, sultanas, dates, hazelnuts, raisins, apple and coconut",0,0.067,0,0
11-492,Frosties,Manufacturer's data Kelloggs,0.053,0.006,0.946,3.81
11-486,Bran Flakes,Manufacturer's data Kelloggs,0.102,0.025,0.712,3.3
11-487,Clusters,Manufacturer's data Cereal Partners UK,0.103,0.085,0.719,3.87
11-488,Coco Pops,Manufacturer's data Kelloggs,0.045,0.025,0.915,3.83
11-489,"Oat Bran Flakes, with raisins",Manufacturer's data Kelloggs,0.1,0.05,0.697,3.46
11-490,Corn Flakes,Analysis and manufacturer's data Kelloggs,0.079,0.009,0.896,3.76
11-491,Crunchy Nut Corn Flakes,Manufacturer's data Kelloggs,0.074,0.035,0.916,4.05
11-485,All-Bran,"Analysis and manufacturer's data Kelloggs, All-Bran Plus",0.13,0.04,0.485,2.7
50-085,Smacks,Manufacturer's data Kelloggs,0.08,0.02,0.896,3.86
11-662,"Jam tarts, homemade",Recipe,0.033,0.15,0.619,3.81
11-661,Gulab jamen/jambu retail,Recipe,0.084,0.151,0.457,3.41
11-659,Gulab jamen/jambu homemade,Recipe,0.062,0.117,0.511,3.22
11-657,"Eclairs, fresh",Recipe,0.041,0.256,0.375,3.88
11-656,"Doughnuts, custard-filled",Recipe,0.059,0.194,0.425,3.58
11-655,"Custard tart, large",Recipe,0.057,0.171,0.288,2.86
11-592,"Scones, plain",Recipe,0.072,0.148,0.537,3.64
11-654,Cream horns,Recipe,0.032,0.323,0.255,3.99
11-690,Vanilla Slices,Recipe,0.04,0.164,0.534,3.64
11-663,"Jam tarts, wholemeal",Recipe,0.044,0.154,0.575,3.71
11-678,Strawberry tartlets,Recipe,0.025,0.108,0.263,2.06
11-653,Choux buns,Recipe,0.053,0.355,0.172,4.06
11-665,"Jellabi, homemade",Recipe,0.044,0.148,0.562,3.67
11-666,"Mincemeat tart, one crust",Recipe,0.031,0.163,0.6,3.85
11-667,"Muffins, bran",Recipe,0.08,0.08,0.446,2.72
11-668,Pinni,"Asian Sweetmeat, Recipe",0.055,0.319,0.584,5.28
11-669,"Scones, cheese",Recipe,0.102,0.182,0.435,3.69
11-672,Rum baba,recipe,0.037,0.084,0.325,2.27
11-673,"Scones, potato",Recipe,0.048,0.156,0.354,2.93
11-674,"Scones, wholemeal, fruit",Recipe,0.082,0.131,0.476,3.3
11-676,Sevyiaan,"Sweet Indian snack, recipe",0.05,0.277,0.446,4.44
11-679,Waffles,Recipe,0.088,0.171,0.401,3.4
11-680,Welsh cheesecakes,Recipe,0.053,0.239,0.52,4.32
11-591,"Mince pies, individual",Recipe,0.042,0.213,0.605,4.35
11-675,Scotch pancakes,Recipe,0.066,0.119,0.395,2.84
11-231,Burfi,"5 assorted samples, fudge-type sweet",0.116,0.199,0.177,2.92
11-593,"Scones, wholemeal",Recipe. Ref. Wiles et al. 1980,0.088,0.146,0.43,3.28
11-590,Hot cross buns,Recipe,0.074,0.07,0.583,3.12
11-230,Asian pastries,"5 samples, assorted sata pastries",0.063,0.391,0.43,5.38
11-242,"Doughnuts, jam","10 samples, different shops",0.057,0.145,0.488,3.36
11-244,"Doughnuts, ring, iced",Recipe,0.048,0.175,0.551,3.83
11-247,"Eclairs, frozen",10 samples of the same brand Birds Eye,0.056,0.306,0.261,3.96
11-248,Greek pastries,"4 assorted samples, baclava, tangos, tsamika, shredded type",0.047,0.17,0.4,3.22
11-251,Halva,"Greek sweet, 10 assorted samples",0.148,0.319,0.542,6.15
11-252,Halwa,"Asian sweet, 5 samples, assorted colours and flavours",0.018,0.132,0.68,3.81
11-273,"Teacakes, fresh","10 samples, 4 brands, 6 bakeries",0.08,0.075,0.525,2.96
11-534,"Bagels, plain",2 brands,0.1,0.018,0.578,2.73
11-535,"Crumpets, toasted",9 samples,0.069,0.01,0.454,2.07
11-545,"Teacakes, toasted",Calculated using weight loss of 10%,0.089,0.083,0.583,3.29
11-537,"Custard tarts, individual","10 samples, 2 brands, 8 bakeries",0.063,0.145,0.324,2.77
11-538,Danish pastries,"10 samples, different shops",0.058,0.141,0.513,3.42
11-539,"Doughnuts, ring","10 samples, different shops",0.061,0.224,0.472,4.03
11-540,"Jam tarts, retail","10 samples, 6 brands, 4 bakeries",0.033,0.147,0.634,3.83
11-541,"Muffins, English style, white",10 samples,0.1,0.019,0.442,2.23
11-542,"Muffins, English style, white, toasted",10 samples,0.113,0.027,0.51,2.61
11-543,"Scones, fruit, retail","10 samples, 5 brands, 3 bakeries",0.065,0.087,0.562,3.15
11-544,"Scotch pancakes, retail","6 samples, 4 brands",0.056,0.096,0.43,2.7
11-588,Chelsea buns,Recipe. Ref. Wiles et al. 1980,0.078,0.142,0.558,3.68
